Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit Metrics,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Year,Square Feet,Total Floors,Floor Percentile
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Feb-22,Freehold,69.95,sq.m,-,-,16,"RM595,000.00",2022,753,19,0.84
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Sep-23,Freehold,138,sq.m,-,-,1,"RM608,000.00",2023,1485,17,0.06
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Apr-21,Freehold,140.92,sq.m,-,-,11,"RM970,000.00",2021,1517,19,0.58
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-21,Freehold,65,sq.m,-,-,12,"RM631,000.00",2021,700,23,0.52
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-22,Leasehold,126,sq.m,-,-,17,"RM470,000.00",2022,1356,19,0.89
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE PARK KONDO,Apr-22,Leasehold,115,sq.m,-,-,16,"RM470,000.00",2022,1238,21,0.76
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,96.98,sq.m,-,-,5,"RM500,000.00",2022,1044,30,0.17
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,116,sq.m,-,-,9,"RM470,000.00",2022,1249,30,0.3
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,121.97,sq.m,-,-,17,"RM530,000.00",2022,1313,30,0.57
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-22,Leasehold,122,sq.m,-,-,17,"RM520,000.00",2022,1313,30,0.57
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Apr-22,Freehold,126.34,sq.m,-,-,12,"RM750,000.00",2022,1360,19,0.63
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,-,-,17,"RM462,000.00",2022,700,23,0.74
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM430,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM440,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,65,sq.m,,,18,"RM450,000.00",2022,700,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,105,sq.m,-,-,18,"RM610,000.00",2022,1130,23,0.78
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,113,sq.m,-,-,15,"RM670,000.00",2022,1216,23,0.65
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Apr-22,Freehold,113,sq.m,,,16,"RM670,000.00",2022,1216,23,0.7
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Apr-22,Freehold,90,sq.m,-,-,13,"RM560,000.00",2022,969,25,0.52
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Apr-22,Freehold,92.44,sq.m,-,-,18,"RM390,000.00",2022,995,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-22,Freehold,52,sq.m,-,-,3,"RM526,000.00",2022,560,24,0.13
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-22,Freehold,52,sq.m,,,23,"RM532,000.00",2022,560,24,0.96
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-22,Freehold,52,sq.m,,,24,"RM533,000.00",2022,560,24,1
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-23,Leasehold,126,sq.m,-,-,3,"RM480,000.00",2023,1356,19,0.16
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-23,Leasehold,0,,,,12,"RM530,000.00",2023,1356,19,0.63
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-23,Leasehold,168,sq.m,-,-,12,"RM650,000.00",2023,1808,19,0.63
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-23,Leasehold,96.98,sq.m,-,-,9,"RM550,000.00",2023,1044,30,0.3
Service Apartment,Petaling,Bandar Subang Jaya,MENARA RAJAWALI - SS15 SUBANG JAYA,Apr-23,Leasehold,41.05,sq.m,-,-,15,"RM219,000.00",2023,442,16,0.94
Service Apartment,Petaling,Bandar Subang Jaya,SUBANG OLIVES RESIDENCE-SS16 S.JAYA,Apr-23,Freehold,136.47,sq.m,-,-,14,"RM598,000.00",2023,1469,17,0.82
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-21,Freehold,63,sq.m,-,-,5,"RM300,000.00",2021,678,25,0.2
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-21,Freehold,93,sq.m,-,-,19,"RM490,000.00",2021,1001,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-21,Freehold,99,sq.m,-,-,6,"RM490,000.00",2021,1066,25,0.24
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-21,Freehold,99,sq.m,,,13A,"RM490,000.00",2021,1066,25,#VALUE!
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-21,Freehold,99,sq.m,,,17,"RM490,000.00",2021,1066,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Nov-21,Freehold,99,sq.m,-,-,12,"RM460,000.00",2021,1066,25,0.48
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Nov-21,Freehold,99,sq.m,,,20,"RM490,000.00",2021,1066,25,0.8
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Apr-23,Freehold,61,sq.m,-,-,25,"RM502,000.00",2023,657,21,1.19
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Apr-23,Freehold,57,sq.m,-,-,19,"RM400,000.00",2023,614,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Apr-23,Freehold,114,sq.m,-,-,33,"RM663,000.00",2023,1227,25,1.32
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Apr-24,Leasehold,126,sq.m,-,-,7,"RM530,000.00",2024,1356,19,0.37
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Apr-24,Leasehold,115.93,sq.m,-,-,10,"RM600,000.00",2024,1248,30,0.33
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Apr-24,Freehold,48,sq.m,-,-,19,"RM465,000.00",2024,517,22,0.86
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Oct-21,Freehold,99,sq.m,-,-,17,"RM480,000.00",2021,1066,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Apr-24,Freehold,52,sq.m,-,-,13,"RM535,000.00",2024,560,24,0.54
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Aug-21,Leasehold,116,sq.m,-,-,12,"RM600,000.00",2021,1249,30,0.4
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Aug-21,Freehold,118,sq.m,-,-,14,"RM505,000.00",2021,1270,25,0.56
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Aug-21,Freehold,85,sq.m,-,-,12,"RM430,000.00",2021,915,25,0.48
Service Apartment,Petaling,Bandar Subang Jaya,YOU ONE USJ 1,Aug-21,Freehold,63,sq.m,-,-,22,"RM430,000.00",2021,678,19,1.16
Condominium/Apartment,Petaling,Bandar Subang Jaya,P/PURI MY PLACE - SS15 SUBANG JAYA,Aug-22,Freehold,91,sq.m,-,-,3,"RM510,000.00",2022,980,5,0.6
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Jul-23,Freehold,138,sq.m,-,-,3,"RM633,000.00",2023,1485,17,0.18
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Aug-22,Leasehold,115.93,sq.m,-,-,14,"RM500,000.00",2022,1248,30,0.47
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Aug-22,Leasehold,116,sq.m,-,-,11,"RM490,000.00",2022,1249,30,0.37
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Aug-22,Freehold,48,sq.m,-,-,6,"RM420,000.00",2022,517,22,0.27
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Aug-22,Freehold,48,sq.m,,,8,"RM410,000.00",2022,517,22,0.36
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Aug-22,Freehold,48,sq.m,,,13A,"RM420,000.00",2022,517,22,#VALUE!
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Aug-22,Freehold,48,sq.m,,,17,"RM470,000.00",2022,517,22,0.77
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Oct-21,Freehold,111,sq.m,-,-,19,"RM490,000.00",2021,1195,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-22,Freehold,63,sq.m,-,-,9,"RM270,000.00",2022,678,25,0.36
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-22,Freehold,63,sq.m,,,,"RM390,000.00",2022,678,25,0
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-22,Freehold,99,sq.m,-,-,7,"RM500,000.00",2022,1066,25,0.28
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-22,Freehold,99,sq.m,,,11,"RM499,000.00",2022,1066,25,0.44
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Aug-22,Freehold,90,sq.m,-,-,21,"RM400,000.00",2022,969,25,0.84
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Aug-22,Freehold,61,sq.m,-,-,13,"RM485,000.00",2022,657,21,0.62
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Aug-22,Freehold,61,sq.m,,,22,"RM510,000.00",2022,657,21,1.05
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Aug-22,Freehold,61,sq.m,,,34,"RM460,000.00",2022,657,21,1.62
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Aug-22,Freehold,56,sq.m,-,-,30,"RM315,000.00",2022,603,25,1.2
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Aug-22,Freehold,57,sq.m,-,-,17,"RM350,000.00",2022,614,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Aug-22,Freehold,60,sq.m,-,-,23,"RM480,000.00",2022,646,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Aug-22,Freehold,52,sq.m,-,-,18,"RM515,000.00",2022,560,24,0.75
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Aug-22,Freehold,52,sq.m,,,24,"RM533,000.00",2022,560,24,1
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Aug-22,Leasehold,49,sq.m,-,-,28,"RM208,000.00",2022,527,45,0.62
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Aug-23,Freehold,48,sq.m,-,-,12,"RM455,000.00",2023,517,22,0.55
Service Apartment,Petaling,Bandar Subang Jaya,EDGE RESIDENC - USJ 1,Aug-23,Leasehold,86,sq.m,-,-,23,"RM500,000.00",2023,926,29,0.79
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-22,Freehold,99,sq.m,,,18,"RM499,000.00",2022,1066,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-22,Freehold,99,sq.m,-,-,8,"RM490,000.00",2022,1066,25,0.32
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Aug-23,Freehold,91,sq.m,-,-,26,"RM600,000.00",2023,980,25,1.04
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Aug-23,Freehold,57,sq.m,-,-,21,"RM350,000.00",2023,614,25,0.84
Service Apartment,Petaling,Bandar Subang Jaya,YOU ONE USJ 1,Aug-23,Freehold,63,sq.m,-,-,16,"RM500,000.00",2023,678,19,0.84
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Dec-21,Leasehold,126,sq.m,-,-,8,"RM550,000.00",2021,1356,19,0.42
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Dec-21,Leasehold,168,sq.m,-,-,4,"RM620,000.00",2021,1808,19,0.21
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Jun-23,Freehold,150,sq.m,-,-,3,"RM595,000.00",2023,1615,17,0.18
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Dec-21,Leasehold,121.97,sq.m,-,-,14,"RM595,000.00",2021,1313,30,0.47
Service Apartment,Petaling,Bandar Subang Jaya,MENARA RAJAWALI - SS15 SUBANG JAYA,Dec-21,Leasehold,38.7,sq.m,-,-,15,"RM215,000.00",2021,417,16,0.94
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Dec-21,Freehold,140.92,sq.m,-,-,10,"RM950,000.00",2021,1517,19,0.53
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-21,Freehold,81,sq.m,-,-,15,"RM625,000.00",2021,872,22,0.68
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Jul-22,Freehold,99,sq.m,-,-,11,"RM480,000.00",2022,1066,25,0.44
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Jul-22,Freehold,99,sq.m,,,13,"RM480,000.00",2022,1066,25,0.52
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Jun-22,Freehold,99,sq.m,-,-,6,"RM480,000.00",2022,1066,25,0.24
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,May-22,Freehold,99,sq.m,-,-,23,"RM499,000.00",2022,1066,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Nov-22,Freehold,63,sq.m,-,-,22,"RM390,000.00",2022,678,25,0.88
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-21,Freehold,65,sq.m,-,-,10,"RM474,000.00",2021,700,23,0.43
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-21,Freehold,65,sq.m,,,14,"RM485,000.00",2021,700,23,0.61
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-21,Freehold,91,sq.m,-,-,14,"RM560,000.00",2021,980,23,0.61
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-21,Freehold,90,sq.m,-,-,11,"RM560,000.00",2021,969,25,0.44
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-21,Freehold,90,sq.m,,,16,"RM520,000.00",2021,969,25,0.64
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-21,Freehold,118,sq.m,-,-,18,"RM480,000.00",2021,1270,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Dec-21,Freehold,61,sq.m,-,-,20,"RM500,000.00",2021,657,21,0.95
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-21,Freehold,57,sq.m,-,-,18,"RM308,000.00",2021,614,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-21,Freehold,59,sq.m,-,-,13,"RM323,000.00",2021,635,25,0.52
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-21,Freehold,78,sq.m,-,-,10,"RM420,000.00",2021,840,25,0.4
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Dec-21,Freehold,52,sq.m,-,-,23,"RM532,000.00",2021,560,24,0.96
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Dec-21,Leasehold,42,sq.m,-,-,16,"RM270,000.00",2021,452,45,0.36
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Dec-21,Leasehold,49,sq.m,-,-,6,"RM280,000.00",2021,527,45,0.13
Condominium/Apartment,Petaling,Bandar Subang Jaya,PANGSAPURI LAFITE-SS17 SUBANG JAYA,Dec-22,Freehold,87,sq.m,-,-,2,"RM420,000.00",2022,936,4,0.5
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Dec-22,Leasehold,124,sq.m,-,-,13,"RM550,000.00",2022,1335,19,0.68
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Dec-22,Leasehold,126,sq.m,-,-,18,"RM490,000.00",2022,1356,19,0.95
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Dec-22,Leasehold,0,,,,19,"RM490,000.00",2022,1356,19,1
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE PARK KONDO,Dec-22,Leasehold,115,sq.m,-,-,13,"RM550,000.00",2022,1238,21,0.62
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Dec-22,Leasehold,116,sq.m,-,-,5,"RM514,000.00",2022,1249,30,0.17
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-22,Freehold,52,sq.m,-,-,10,"RM448,000.00",2022,560,22,0.45
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-22,Freehold,52,sq.m,,,19,"RM450,000.00",2022,560,22,0.86
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-22,Freehold,52.3,sq.m,-,-,19,"RM490,000.00",2022,563,22,0.86
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Nov-22,Freehold,99,sq.m,-,-,17,"RM480,000.00",2022,1066,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-22,Freehold,65,sq.m,-,-,10,"RM450,000.00",2022,700,23,0.43
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-22,Freehold,85,sq.m,-,-,15,"RM439,000.00",2022,915,25,0.6
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-22,Freehold,100,sq.m,-,-,32,"RM520,000.00",2022,1076,25,1.28
