Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit Metrics,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Year,Square Feet,Total Floors,Floor Percentile
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Dec-22,Freehold,52,sq.m,-,-,12,"RM555,000.00",2022,560,24,0.5
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Dec-22,Freehold,52,sq.m,,,17,"RM497,000.00",2022,560,24,0.71
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Dec-22,Freehold,52,sq.m,,,24,"RM550,000.00",2022,560,24,1
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Dec-22,Leasehold,49,sq.m,-,-,25,"RM238,000.00",2022,527,45,0.56
Condominium/Apartment,Petaling,Bandar Subang Jaya,P/PURI MY PLACE - SS15 SUBANG JAYA,Dec-23,Freehold,91,sq.m,-,-,1,"RM410,000.00",2023,980,5,0.2
Condominium/Apartment,Petaling,Bandar Subang Jaya,PANGSAPURI LAFITE-SS17 SUBANG JAYA,Dec-23,Freehold,87,sq.m,-,-,1,"RM400,000.00",2023,936,4,0.25
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Dec-23,Leasehold,115.93,sq.m,-,-,5,"RM580,000.00",2023,1248,30,0.17
Service Apartment,Petaling,Bandar Subang Jaya,SUBANG OLIVES RESIDENCE-SS16 S.JAYA,Dec-23,Freehold,166,sq.m,-,-,14,"RM750,000.00",2023,1787,17,0.82
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-23,Freehold,48,sq.m,-,-,17,"RM500,000.00",2023,517,22,0.77
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Dec-23,Freehold,48,sq.m,,,18,"RM450,000.00",2023,517,22,0.82
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Nov-22,Freehold,99,sq.m,,,,"RM490,000.00",2022,1066,25,0
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-23,Freehold,65,sq.m,-,-,12,"RM510,000.00",2023,700,23,0.52
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Dec-23,Freehold,113,sq.m,-,-,17,"RM775,000.00",2023,1216,23,0.74
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-23,Freehold,91,sq.m,-,-,10,"RM600,000.00",2023,980,25,0.4
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-23,Freehold,118,sq.m,-,-,20,"RM440,000.00",2023,1270,25,0.8
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Dec-23,Freehold,118,sq.m,,,21,"RM595,000.00",2023,1270,25,0.84
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Dec-23,Freehold,79,sq.m,-,-,16,"RM650,000.00",2023,850,21,0.76
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-23,Freehold,39,sq.m,-,-,23,"RM260,000.00",2023,420,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Dec-23,Freehold,57,sq.m,-,-,26,"RM328,000.00",2023,614,25,1.04
Service Apartment,Petaling,Bandar Subang Jaya,YOU ONE USJ 1,Dec-23,Freehold,62,sq.m,-,-,34,"RM370,000.00",2023,667,19,1.79
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Feb-21,Freehold,65,sq.m,-,-,20,"RM494,000.00",2021,700,23,0.87
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Feb-21,Leasehold,49,sq.m,-,-,17,"RM280,000.00",2021,527,45,0.38
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Feb-22,Freehold,54.34,sq.m,-,-,2,"RM500,000.00",2022,585,19,0.11
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-22,Freehold,57,sq.m,-,-,19,"RM360,000.00",2022,614,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-22,Freehold,59,sq.m,-,-,25,"RM390,000.00",2022,635,25,1
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-22,Freehold,85,sq.m,-,-,19,"RM490,000.00",2022,915,25,0.76
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Feb-23,Leasehold,105,sq.m,-,-,16,"RM490,000.00",2023,1130,30,0.53
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Feb-23,Freehold,48,sq.m,-,-,21,"RM460,000.00",2023,517,22,0.95
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Oct-22,Freehold,63,sq.m,-,-,19,"RM350,000.00",2022,678,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Feb-23,Freehold,65,sq.m,-,-,23,"RM432,000.00",2023,700,23,1
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-23,Freehold,83,sq.m,-,-,29,"RM490,000.00",2023,893,25,1.16
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-23,Freehold,83,sq.m,,,30,"RM490,000.00",2023,893,25,1.2
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Feb-23,Freehold,84,sq.m,-,-,25,"RM475,000.00",2023,904,25,1
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Feb-24,Leasehold,115.93,sq.m,-,-,3A,"RM540,000.00",2024,1248,30,#VALUE!
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Feb-24,Freehold,84,sq.m,-,-,3,"RM690,000.00",2024,904,19,0.16
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Feb-24,Freehold,48,sq.m,-,-,7,"RM500,000.00",2024,517,22,0.32
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Oct-22,Freehold,99,sq.m,-,-,18,"RM490,000.00",2022,1066,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Sep-22,Freehold,63,sq.m,-,-,23,"RM350,000.00",2022,678,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,63,sq.m,-,-,4,"RM400,000.00",2023,678,25,0.16
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Feb-24,Freehold,90,sq.m,-,-,8,"RM420,000.00",2024,969,25,0.32
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Feb-24,Freehold,118,sq.m,-,-,23,"RM550,000.00",2024,1270,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Feb-24,Freehold,118,sq.m,,,26,"RM700,000.00",2024,1270,25,1.04
Service Apartment,Petaling,Bandar Subang Jaya,YOU ONE USJ 1,Feb-24,Freehold,63,sq.m,-,-,13,"RM400,000.00",2024,678,19,0.68
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Feb-24,Leasehold,49,sq.m,-,-,20,"RM350,000.00",2024,527,45,0.44
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Jan-21,Freehold,91,sq.m,-,-,10,"RM622,000.00",2021,980,23,0.43
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jan-22,Leasehold,126,sq.m,-,-,4,"RM700,000.00",2022,1356,19,0.21
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jan-22,Leasehold,158.39,sq.m,-,-,13A,"RM635,000.00",2022,1705,19,#VALUE!
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jan-22,Leasehold,115.94,sq.m,-,-,16,"RM470,000.00",2022,1248,30,0.53
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jan-22,Leasehold,122,sq.m,-,-,16,"RM560,000.00",2022,1313,30,0.53
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Jan-22,Freehold,48,sq.m,-,-,9,"RM400,000.00",2022,517,22,0.41
Service Apartment,Petaling,Bandar Subang Jaya,YOU ONE USJ 1,Jan-22,Freehold,62,sq.m,-,-,17,"RM422,000.00",2022,667,19,0.89
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Jan-22,Freehold,52,sq.m,-,-,24,"RM532,000.00",2022,560,24,1
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jan-23,Leasehold,165,sq.m,-,-,5,"RM620,000.00",2023,1776,19,0.26
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Jan-23,Freehold,82.03,sq.m,-,-,9,"RM560,000.00",2023,883,19,0.47
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Jan-23,Freehold,48,sq.m,-,-,14,"RM440,000.00",2023,517,22,0.64
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Jan-23,Freehold,57,sq.m,-,-,19,"RM345,000.00",2023,614,25,0.76
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jan-24,Leasehold,125,sq.m,-,-,5,"RM435,000.00",2024,1345,19,0.26
Service Apartment,Petaling,Bandar Subang Jaya,SUBANG OLIVES RESIDENCE-SS16 S.JAYA,Jan-24,Freehold,179,sq.m,-,-,12,"RM838,000.00",2024,1927,17,0.71
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,63,sq.m,,,9,"RM400,000.00",2023,678,25,0.36
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Jan-24,Freehold,65,sq.m,-,-,21,"RM510,000.00",2024,700,23,0.91
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jan-24,Freehold,90,sq.m,-,-,13,"RM410,000.00",2024,969,25,0.52
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jan-24,Freehold,90,sq.m,,,27,"RM610,000.00",2024,969,25,1.08
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jan-24,Freehold,118,sq.m,-,-,20,"RM480,000.00",2024,1270,25,0.8
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Jan-24,Freehold,61,sq.m,-,-,14,"RM515,000.00",2024,657,21,0.67
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Jan-24,Freehold,61,sq.m,,,22,"RM535,000.00",2024,657,21,1.05
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jul-21,Leasehold,126,sq.m,-,-,19,"RM550,000.00",2021,1356,19,1
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Jul-21,Leasehold,49,sq.m,-,-,10,"RM170,000.00",2021,527,45,0.22
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE PARK KONDO,Jul-22,Leasehold,115,sq.m,-,-,19,"RM485,000.00",2022,1238,21,0.9
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,May-24,Freehold,165,sq.m,-,-,3,"RM640,000.00",2024,1776,17,0.18
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,63,sq.m,,,29,"RM284,000.00",2023,678,25,1.16
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,75,sq.m,-,-,9,"RM400,000.00",2023,807,25,0.36
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Jul-22,Freehold,65,sq.m,-,-,11,"RM500,000.00",2022,700,23,0.48
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-22,Freehold,90,sq.m,-,-,9,"RM500,000.00",2022,969,25,0.36
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Jul-22,Freehold,88,sq.m,-,-,24,"RM450,000.00",2022,947,25,0.96
SOHO/SOFO/SOVO,Petaling,Damansara,MENARA GENO,Jul-22,Leasehold,49,sq.m,-,-,6,"RM199,000.00",2022,527,45,0.13
Condominium/Apartment,Petaling,Bandar Subang Jaya,PANGSAPURI LAFITE-SS17 SUBANG JAYA,Jul-23,Freehold,87,sq.m,-,-,1,"RM499,000.00",2023,936,4,0.25
Condominium/Apartment,Petaling,Pekan Penaga,USJ ONE AVENUE-USJ 1,Jul-23,Leasehold,126,sq.m,-,-,17,"RM480,000.00",2023,1356,19,0.89
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Jun-22,Freehold,177,sq.m,-,-,7,"RM730,000.00",2022,1905,17,0.41
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jul-23,Leasehold,122,sq.m,-,-,16,"RM550,000.00",2023,1313,30,0.53
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jul-23,Leasehold,136.93,sq.m,-,-,19,"RM665,000.00",2023,1474,30,0.63
Service Apartment,Petaling,Bandar Subang Jaya,"SAUJANA RESIDENCY - SS 16, SUBANG JAYA",Jul-23,Freehold,128,sq.m,-,-,13,"RM806,000.00",2023,1378,19,0.68
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Jul-23,Freehold,48,sq.m,-,-,7,"RM500,000.00",2023,517,22,0.32
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Jul-23,Freehold,48,sq.m,,,17,"RM440,000.00",2023,517,22,0.77
Service Apartment,Petaling,Bandar Subang Jaya,EDGE RESIDENC - USJ 1,Jul-23,Leasehold,72,sq.m,-,-,27,"RM430,000.00",2023,775,29,0.93
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,99,sq.m,-,-,2,"RM520,000.00",2023,1066,25,0.08
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,99,sq.m,,,18,"RM530,000.00",2023,1066,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Apr-23,Freehold,99,sq.m,,,19,"RM499,000.00",2023,1066,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-23,Freehold,99,sq.m,-,-,2,"RM520,000.00",2023,1066,25,0.08
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Aug-23,Freehold,99,sq.m,,,12,"RM550,000.00",2023,1066,25,0.48
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Dec-23,Freehold,99,sq.m,-,-,1,"RM550,000.00",2023,1066,25,0.04
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Feb-23,Freehold,99,sq.m,-,-,17,"RM460,000.00",2023,1066,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Jul-23,Freehold,63,sq.m,-,-,3A,"RM275,000.00",2023,678,25,#VALUE!
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Jul-23,Freehold,65,sq.m,-,-,20,"RM450,000.00",2023,700,23,0.87
Service Apartment,Petaling,Bandar Subang Jaya,DAMEN USJ SERVICE APARTMENT,Jul-23,Freehold,65,sq.m,,,22,"RM510,000.00",2023,700,23,0.96
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,90,sq.m,-,-,15,"RM580,000.00",2023,969,25,0.6
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,90,sq.m,,,17,"RM410,000.00",2023,969,25,0.68
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,90,sq.m,,,18,"RM480,000.00",2023,969,25,0.72
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,90,sq.m,,,23,"RM580,000.00",2023,969,25,0.92
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,90,sq.m,,,26,"RM580,000.00",2023,969,25,1.04
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,92.5,sq.m,-,-,26,"RM428,000.00",2023,996,25,1.04
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jul-23,Freehold,118,sq.m,-,-,16,"RM500,000.00",2023,1270,25,0.64
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Jul-23,Freehold,57,sq.m,-,-,11,"RM328,000.00",2023,614,25,0.44
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Jul-23,Freehold,57,sq.m,,,19,"RM320,000.00",2023,614,25,0.76
Service Apartment,Petaling,Bandar Subang Jaya,THE MAIN PLACE RESIDENCE (NEW GATE),Jul-23,Freehold,59,sq.m,-,-,23A,"RM365,000.00",2023,635,25,#VALUE!
Service Apartment,Petaling,Bandar Subang Jaya,GRAND SUBANG JAYA @ SS15,Jul-23,Freehold,52,sq.m,-,-,15,"RM480,000.00",2023,560,24,0.63
Condominium/Apartment,Petaling,Bandar Subang Jaya,PANGSAPURI LAFITE-SS17 SUBANG JAYA,Jun-22,Freehold,85,sq.m,-,-,3,"RM395,000.00",2022,915,4,0.75
Condominium/Apartment,Petaling,Pekan Subang Jaya,INDERA SUBANG KONDOMINIUM - USJ 6,Mar-22,Freehold,159,sq.m,-,-,8,"RM760,000.00",2022,1711,17,0.47
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jun-22,Leasehold,115.93,sq.m,-,-,8,"RM500,000.00",2022,1248,30,0.27
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jun-22,Leasehold,115.93,sq.m,,,13,"RM565,000.00",2022,1248,30,0.43
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jun-22,Leasehold,116,sq.m,-,-,9,"RM500,000.00",2022,1249,30,0.3
Condominium/Apartment,Petaling,Pekan Subang Jaya,REGINA USJ 1,Jun-22,Leasehold,130.98,sq.m,-,-,16,"RM640,000.00",2022,1410,30,0.53
Service Apartment,Petaling,Bandar Subang Jaya,THE GRAND SUBANG-SS 13 SUBANG JAYA,Jun-22,Freehold,48,sq.m,-,-,10,"RM400,000.00",2022,517,22,0.45
Service Apartment,Petaling,Bandar Subang Jaya,CASA SUBANG-USJ 1,Jul-23,Freehold,63,sq.m,,,29,"RM330,000.00",2023,678,25,1.16
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jun-22,Freehold,90,sq.m,-,-,10,"RM560,000.00",2022,969,25,0.4
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jun-22,Freehold,90,sq.m,,,11,"RM418,000.00",2022,969,25,0.44
Service Apartment,Petaling,Bandar Subang Jaya,IMPIAN MERIDIAN SERVICE APT-USJ 1,Jun-22,Freehold,90,sq.m,,,22,"RM570,000.00",2022,969,25,0.88
Service Apartment,Petaling,Bandar Subang Jaya,KENWINGSTON - USJ 1,Jun-22,Freehold,79,sq.m,-,-,23,"RM600,000.00",2022,850,21,1.1
